120,120,120,墙
180,120,120,建筑、大厦
6,230,230,天空
80,50,50,地板
4,200,3,树、树木
120,120,80,天花板、吊顶
140,140,140,路、道路
204,5,255,床
230,230,230,玻璃、窗户
4,250,7,草
224,5,255,橱柜、储藏柜
235,255,7,人行道
150,5,61,人
120,120,70,地球、地面
8,255,51,门、双开门
255,6,82,桌子
143,255,140,山、山脉
204,255,4,植物
255,51,7,窗帘、布料
204,70,3,椅子
0,102,200,车、汽车
61,230,250,水
255,6,51,画、照片、图片
11,102,255,沙发
255,7,71,架子
255,9,224,房子、住宅
9,7,230,海洋
220,220,220,镜子
255,9,92,地毯、毛毯
112,9,255,田野、田地
8,255,214,扶手椅、单人沙发
7,255,224,座位
255,184,6,栅栏、围栏
10,255,71,书桌、办公桌
255,41,10,岩石、石头
7,255,255,衣柜、壁橱
224,255,8,灯
102,8,255,浴缸
255,61,6,栏杆、轨道
255,194,7,坐垫、垫子
255,122,8,基础、底座
0,255,20,箱子、盒子
255,8,41,柱子、罗马柱
255,5,153,招牌、布告板
6,51,255,五斗橱、柜子、梳妆台、碗柜
235,12,255,柜台
160,150,20,沙漠、沙堆
0,163,255,水槽、水池、洼地
140,140,140,摩天大楼
250,10,15,壁炉、火炉
20,255,0,冰箱
31,255,0,看台
255,31,0,小径、小道
255,224,0,楼梯、踏步
153,255,0,飞机跑道、T台
0,0,255,陈列橱窗、玻璃橱窗
255,71,0,台球桌、斯诺克桌
0,235,255,枕头
0,173,255,纱窗、屏幕
31,0,255,楼梯、楼梯间
11,200,200,河
255,82,0,桥
0,255,245,书架
0,61,255,百叶窗、屏风
0,255,112,咖啡桌、鸡尾酒桌
0,255,133,卫生间、便池、坑位、马桶
255,0,0,花
255,163,0,书
255,102,0,山丘、小山、土堆
194,255,0,板凳、长椅
0,143,255,工作台
51,255,0,烹饪炉、厨房
0,82,255,棕榈树
0,255,41,厨房中岛
0,255,173,电脑、电脑设备
10,0,255,转椅
173,255,0,小船、轮船
0,255,153,酒吧
255,92,0,街机、游戏机
255,0,255,小屋、棚屋、简陋的小屋
255,0,245,公交车、客车、巴士
255,0,102,毛巾
255,173,0,光、光源
255,0,20,卡车、货车
255,184,184,塔
0,31,255,吊灯
0,255,61,遮阳蓬、遮阳伞
0,71,255,路灯
255,0,204,展台、小隔间、货摊
0,255,194,电视
0,255,82,飞机
0,10,255,尘土、灰尘、泥土、小道
0,112,255,服装、衣服
51,0,255,杆子、柱子
0,194,255,土地
0,122,255,栏杆、扶手
0,255,163,自动扶梯、扶梯
255,153,0,蒲团、坐垫
0,255,10,瓶子
255,112,0,自助餐、餐具柜
143,255,0,海报、张贴画
82,0,255,舞台
163,255,0,小型货车、面包车
255,235,0,大船
8,184,170,喷泉
133,0,255,输送机、运输车
0,255,92,顶棚
184,0,255,洗衣机
255,0,31,玩具
0,184,255,游泳池、游泳馆
0,214,255,凳子
255,0,112,桶
92,255,0,篮子、提篮
0,224,255,瀑布
112,224,255,帐篷、避难所
70,184,160,袋子
163,0,255,小型机车、摩托车
153,0,255,摇篮
71,255,0,烤箱
255,0,163,球
255,204,0,食物
255,0,143,楼梯、台阶
0,255,235,水箱、蓄水池
133,255,0,商标、品牌
255,0,235,微波炉
245,0,255,花盆
255,0,122,动物、牲畜
255,245,0,自行车
10,190,212,湖
214,255,0,洗碗机
0,204,255,屏幕、投影屏幕
20,0,255,小毯子
255,255,0,雕塑
0,153,255,罩子、排气罩
0,41,255,壁灯
0,255,204,花瓶
41,0,255,交通信号灯
41,255,0,托盘
173,0,255,垃圾桶、烟灰缸
0,245,255,风扇、扇子
71,0,255,码头、栈桥、船坞
122,0,255,显示器屏幕、荧光屏显示器
0,255,184,盘子、碟子
0,92,255,监视器、监控设备
184,255,0,公告栏、布告栏
0,133,255,淋浴间、花洒
255,214,0,暖气片、散热器
25,194,194,玻璃、玻璃杯、玻璃制品
102,255,0,钟、时钟
92,0,255,旗子、旗帜
